hasc_1,Region,IDPs,LastUpdated,Source,
UA.CK,Cherkasy,0,0,,Cherkasy
UA.CH,Chernihiv,0,0,,Chernihiv
UA.CV,Chernivtsi,60000,22.03,https://bukoda.gov.ua/news/produkti-zasobi-gigyeni-kovdri-mizhnarodna-gromadska-organizaciya-nadast-dopomogu-pereselencyam-na-bukovini,
UA.KR,Crimea,0,0,,
UA.DP,Dnipropetrovsk,0,0,,
UA.DT,Donetsk,0,0,,
UA.KK,Kharkiv,0,0,,
UA.KS,Kherson,0,0,,
UA.KM,Khmelnytskyy,0,0,,
UA.KC,Kiev City,0,0,,
UA.KV,Kiev,0,0,,
UA.KH,Kirovohrad,0,0,,
UA.LV,Lviv,231000,24.03,https://loda.gov.ua/news?id=66637,
UA.LH,Luhansk,0,0,,
UA.MY,Mykolayiv,0,0,,
UA.OD,Odessa,0,0,,
UA.PL,Poltava,0,0,,
UA.RV,Rivne,30227,25.03,https://www.rv.gov.ua/news/rivnenshchina-prodovzhuye-prijmati-vnutrishno-peremishchenih-osib,
UA.SC,Sevastopol',0,0,,
UA.SM,Sumy,0,0,,
UA.IF,Ivano-Frankivsk,92000,23.03,https://www.if.gov.ua/news/lyudmila-sirko-ivano-frankivshchina-stala-drugoyu-domivkoyu-dlya-ponad-92-tisyach-lyudej-iz-regioniv-yaki-postrazhdali-vid-rosijskoyi-agresiyi,
UA.TP,Ternopil',60000,24.03,https://oda.te.gov.ua/news/misyac-nezlamnosti,
UA.ZK,Transcarpathia,220000,21.03,https://www.ukrinform.ua/rubric-regions/3435917-zakarpatta-potrebue-bilse-likiv-cerez-veliku-kilkist-vimusenih-pereselenciv.html,
UA.VI,Vinnytsya,0,0,,
UA.VO,Volyn,24500,20.03,https://www.volynnews.com/news/all/volyn-pryyniala-mayzhe-25-tysiach-pereselentsiv-/,
UA.ZP,Zaporizhzhya,0,0,,
UA.ZT,Zhytomyr,0,0,,
